男性が子供を抱き上げて立っています。	坊主頭の男性が子供を抱いて立っています。
蒸気機関車が煙を出して通行しています。	機関車が煙をもくもくとあげて進んでいます
雪山で、スキーで勢いよくジャンプしている様子。	雪山でスキーヤーがジャンプをしています。
男性が水の中でフリスビーに手を伸ばしています。	水の中で男性がフリスビーに興じています。
建物の前に猛禽類の彫像の時計台が設置されています。	鷹が羽を広げた彫刻がついた時計台があります。
駅のホームに灰色の電車が来ています。	駅のホームに、電車が入ってきました。
ピッチャーがボールを投げようとしています。	グラウンドでピッチャーが投球をしようとしています。
赤いケーキを前に女性がほほえんでいます。	女性がテーブルの赤いケーキを前にして笑っています。
街灯が付いた棒に信号機と案内板も付いています。	街灯の支柱に信号と曲がった標識が設置されている。
テーブルの上にサラミが載ったピザが置かれています。	テーブルの上に具が載ったビザがあります。
ピザを前に男性が飲み物を飲んでいます。	ピザを前にした男性がグラスの中の飲み物を飲んでいます。
洗面台に歯ブラシやハンドソープのボトルが置かれています。	洗面台の上に歯ブラシなどが置かれています。
自転車をこいでいる男性を、周囲の人が見ています。	自転車で運動をしている男性を、まわりの人が見ています。
男性二人がスケートボードをしています。	男性が２人、スケートボードをしています。
床の絨毯の上にぬいぐるみが置いてあります。	緑色の絨毯!!の上にクマのぬいぐるみが置いてあります。
枯れ草の上に茶色いクマが座っています。	枯れ草の上に一頭の熊が座っています。
枯れ草の上に茶色の熊が座っています。	枯れ草の上に一頭の熊が座っています。
小型飛行機が青空の中飛んでいます。	青空の中、飛行機が一機飛んでいます。
海でサーフィンをしている人がいます。	海で青いサーフボードでサーフィンをしている人です。
野球のピッチャーがボールを投げようとしています。	野球場でピッチャーが投球をしようとしています。
白波の立った海でサーフィンをしています。	海にて一人のサーファーが波に乗っています。
サッカーをしている少年たちがいます。	子供たちがサッカーの試合を行っています。
机の上には液晶モニターとキーボードが置いてあります。	机の上には液晶モニターとキーボードが置いてあります。
馬の前に一人の男性が立っています。	馬の前で、一人の男性が立っています。
キリンが二頭、並んでエサを食べています。	草地の右側のエサ箱でキリンが二頭餌を食べています。
男性が芝生の上でフリスビーを持って立っています。	男性がフリスビーを手に持って立っています。
ワイングラスに赤ワインを注いでいます。	手に持たれたワイングラスに赤ワインが注がれています。
二階建てバスが建物の側の道路に停車しています。	2階建てのバスが建物の側の道路に停車しています。
2階建てのバスが建物の側の道路に停車しています。	建物の側の道路に２階建てのバスが止まっています。
乗用車の屋根に自転車が載せられています。	車の上に、たくさんの自転車が載っています。
一頭のキリンが木立の前に立っている。	木立の前に大きなキリンが一頭います。
自転車に乗った男性が犬を連れています。	男性が自転車で犬を散歩させています。
テニスコートのネット際にラケットを持つ男性が立っています。	テニスコートのネットの前で、男性がラケットを構えています。
青色の大型バスが停留所に停まっている。	青い、大きなバスが駐車場にとまっています。
野球の試合で、バッターが打撃のスイングをしています。	野球の試合で、バッターが打撃のスイングをしています。
野球の試合で、バッターが打撃のスイングをしています。	野球の試合で、バッターが打撃のスイングをしています。
たくさんの人が、並んでワインを飲んでいます。	ワインを飲んでいる人達がたくさんいます。
青い空の中を４機の飛行機が白い煙を流しながら飛行しています。	四機の飛行機が煙をはきながら空を飛んでいます。
レンガの模様の壁の前に、自転車が１台停めてあります。	レンガ造りの壁の前に、自転車が停めてあります。
犬を抱いた女性をカメラで撮影しています。	子犬を抱いた女性にカメラを向けている人がいます。
坂道の道路の歩道に駐車パーキングメーターがあります。	坂道の歩道に設置された、パーキングのメーターです。
青い空の下、木々がある白い雪の広場で空中に飛んでいるスキーヤーです。	青空の中、スキーでジャンプしているところです。
格納庫の中に、ジェット機が停まっています。	ジェット機が、格納庫の中に停まっています。
洋式トイレの壁に、人物の写真が額に入れて飾られています。	洋式のトイレに男性の写真が飾られている。
ソファーと小さなテーブルが置かれています。	部屋の中に黒いソファーと黄色のテーブルが置かれています。
人間を載せた象がサッカーボールで遊んでいます。	背に人間を乗せた象がボールを追いかけています。
草原で食事をとっているシマウマがいます。	１頭のシマウマが、草を食べています。
黄色い壁紙のリビングに一人の男性が立っています。	黄色い壁の室内に、男性が一人います。
牧草地で、2頭の馬が放牧されています。	牧場の中で、２頭の馬が立っています。
夜に教会の建物がライトアップされています。	夜に教会の建物がライトアップされています。
金網沿いを一頭の黒い熊が歩いています。	フェンスの横を、クマが歩いています。
キリンが２頭、首を寄せ合って立っています。	草地の上にキリンが二頭並んでいます。
ソファーに、女性と犬が並んで座っています。	ソファーには一匹の犬と一人の女性が座っています。
牧場の中で、3頭の牛が、並んでこちらを見ています。	3頭の牛が正面を向いて立っています。
街中に高層ビルと時計台のある建物が建っています。	街中に高層ビルと一緒に時計台のある建物が建っています。
道路の脇の芝生で男性と子供がキャッチボールをしています。	男性が、紺色の服を着た子供とキャッチボールをしています。
男性達がフリスビーをしているところです。	広場で男性達がフリスビーで競技をしています。
モニターとノートパソコンが置かれています。	机の上にノートパソコンと大きなディスプレーが置かれています。
カラフルな日傘をさして多くの人が並んでいます。	たくさんの人が色とりどりの傘をさして並んでいます。
１台の青いバイクが道路を走っています。	道路を青色のオートバイが走行しています。
大きな象のとなりに小さな象がいます。	大きな象と小さな象が並んで立っています。
大きな象と小さな象が２頭並んで立っています。	大小の2頭の象が並んで立っています。
テーブルに飲み物とホットドッグが置いてあります。	テーブルの上にホットドッグとドリンクがあります。
金網越しに一頭の大きなゾウが佇んでいます。	鉄線の向こうに、１匹の象が立っています。
二匹の猫が洗面台に頭を突っ込んでいます。	黒い猫と茶色い猫が洗面台に頭を突っ込んでいます。
男性が、手に持ったドーナッツを食べています。	男性が右手に持ったドーナツを食べています。
公園のベンチで親子が休憩しています。	樹のある公園のベンチに母と子供が座っています。
日が沈み赤くなった海面の上に複数の船が浮いています。	空が赤く染まるなか水にたくさんの船が浮いています。
本を小脇にかかえた人が立っています。	男性が書籍を脇に抱えて立っています。
男性の周りに象が三頭立っています。	円形のステージの上に3頭の象がいて、その真ん中に1人の人物が立っています。
ショーウインドーにおもちゃの木馬にまたがった熊のぬいぐるみがあります。	硝子のショーケースの中には木馬に乗ったクマのぬいぐるみが展示してあります。
部屋の中の各所で、四種類の部屋があります。	四つの部屋、リビングや寝室があります。
空港のターミナルに飛行機が駐車しています。	空港のターミナルにジャンボジェット機が止まっています。
テーブルにノートパソコンや犬や食事が置かれている。	テーブルに食べ物とパソコンがあり犬ものっています。
緑色の柵の向こうに川が流れています。	緑色の柵の向こう側に川が見えます。
魚眼レンズでリビングをのぞいています。	魚眼レンズの中に部屋の景色が見えます。
バースディケーキが一つテーブルの上に用意されています。	テーブルの上に、バースディケーキがあります。
ショーケースの中にケーキがたくさん並んでいます。	ショーケースに様々なケーキが陳列されています。
レンガの壁の前にネクタイを締めた女性が立っています。	レンガ造りの壁の前にネクタイ姿の女性が立っています。
階段の手すり付近でスケボーをしています。	男の人が階段の手すり付近でスケートボードをしています。
オレンジ色の貨物列車の前に自転車があります。	貨物列車をバックに自転車がとめられています。
建物のない丘の横で、線路を走る列車です。	建物が無い丘の横の線路を電車がはしっています。
一匹の犬がフリスビーをジャンプしながらキャッチしています。	緑の草地で犬がジャンプしてフリスビーをくわえています。
眼鏡をした女性が歯磨きをしています。	メガネの女性が歯みがきをしています。
ソファーの上に、犬がリラックスした状態で寝転んでいます。	ソファの上で犬が寛いだ姿勢になって眠っています。
スノーボードを持った男性がいます。	雪の上にスノーボードを持った男性がいます。
テーブルの上には秤やトースターなどが置いてあります。	テーブルの上にオーブントースターや計量器があります。
シマウマが金網をかけられた木の横に立っています。	シマウマが金網を掛けられた木のそばにいる。
室内にて黒い大型バイクが置いてあります。	黒くて大きなバイクが室内に停めてあります。
男性は背中にスケートボードを背負っています。	男性がスケートボードを入れたカバンを背負っています。
海の上で犬がサーフボードに乗っています。	海の上で犬がサーフボードに乗っています。
牝牛の像の頭に花飾りが飾られています。	頭に橙色の飾りを付けた牛の像があります。
道路をバイクがたくさん走っています。	大勢のバイカーがバイクで道路を走っています。
小窓から光がさしているトイレのある部屋です。	トイレのある室内の窓から日が差し込んでいます。
鉄条網の上に青い小さな鳥が止まっています	鉄線に青い鳥が止まっているところです。
鉄線に青い毛を持った鳥が止まっています。	鉄線に青い鳥が止まっているところです。
広場でフライングディスクもって跳んでいる人がいます。	ジャンプしてフリスビーをつかまえている人がいます。
テニスコートで選手が球を打とうとしているところです。	テニスコートで男性プレイヤーがボールを打とうとしています。
上空を飛行機が飛んでいるところです。	空を小さい飛行機が飛んでいます。
スキーヤーが雪の上をすべっています。	白いスキーウエアを着たスキーヤーがスキーをしてます。
キッチンでピーマンを包丁で切っている男性。	男性がキッチンに立ち、包丁でピーマンをカットしています。
包丁を持った男性がキッチンのまな板の上でピーマンを切っています。	男性がキッチンに立ち、包丁でピーマンをカットしています。
リモコンがテーブルに置かれています。	テーブルの上にリモコンが置いてあります。
飛行場に黒い飛行機が着陸しています。	黒い飛行機が地上に降り立っています。
スケートボーダーがジャンプしています。	専用コースで、男性がスケートボードでジャンプしています。
黄色と黄土色のウェアの人が雪の上でスノーボードをしています。	スキー場でスノーボードで滑っています。
草原の中に羊とシマウマが１頭ずついます。	草原にシマウマと羊が一頭ずついます。
後ろ足で立っている象を人々が眺めています。	象が後ろ脚で立ち上がっているのを、観客が見ています。
レンガ造りの壁に看板が取り付けられています。	レンガ造りの建物に看板が掲げられています。
パソコンの上に箱が置かれています。	ノートパソコンの上に箱が置かれています。
オフィスのデスクの上に、パソコンモニターが３台並んでいる。	机の上に三台のパソコンモニターが置かれています。
テーブルの上に、電源の入ったノートパソコンが置いてあります。	テーブルにノートパソコンがおかれています。
道路脇に白い自動車が停められています。	路傍に白い自動車が1台停まっています。
小屋の中に一匹の羊が立っています。	木で作られた小屋の中に、羊が一頭立っています。
テニスコートで二人の男性が堅い握手を交わしています。	テニスコートのネットのところで握手をしている選手がいます。
テニスコートのネット越しに握手をしている人たちがいます。	テニスコートのネットをはさんで、２人の男性がお互いの手を組んでいます。
スケートボードに乗った男性が木の障害物を飛び越えています	スケートボードでジャンプし木の箱を乗り越えています。
真っ白な雪景色の中、スノボーでジャンプしている人がいます。	雪原の上空にスノーボーダーがジャンプしています。
二頭の馬が荷物が積まれた荷台を引いています。	２頭の馬が荷物が積まれた荷台を引いています。
テーブルの上に黒い猫があがっています。	テーブルの上に黒い猫が座っています。
船がとまっている港のそばの崖には、家がたくさん建っています。	住宅地の手前の水辺に船がとまっています。
男性が砂浜のうえでカイトをあげています。	男性が砂地の土地で、凧揚げをしています。
男性が砂地の土地で、凧揚げをしています。	砂浜で凧をあげている男の人がいます。
シマウマの子供が立ってこちらを向いています。	シマウマの子供がこちらの方を向いています。
青いペンキで色づけされた家の前にバイクが留められています。	青いお家の前にバイクが一台止まっています
草むらにある大きな木の陰に三頭のキリンがいます。	大きな木がある草原にキリンがいます。
草原の木の下に三頭のキリンがいます。	大きな木がある草原にキリンがいます。
道路沿いに人が並び、そばを車が走っています。	道路沿いに人が並び、道路には車が走っているところです。
海にて、サーファーが波に乗っています。	サーファーが波に乗って立っています。
海の上でサーフィンをしている人がいます。	海の上で、サーファーが波に乗っています。
草原でキリンとシマウマが歩いています。	サバンナをキリンやシマウマたちが歩いています。
赤いドアの両脇に白いシャッターがあります。	建物に設置された左右の白いシャッターの間に赤い扉があります。
人が右手で歯ブラシと携帯電話を握っています。	携帯電話とハブラシを一緒に片手で持っています。
部屋の中に帽子を被ってネクタイを着けた男の子が立っています。	帽子をかぶってネクタイをした男の子が立っています。
砂浜にサーフボードが置いてあります。	ビーチにサーフボードが１個立てかけられています。
黒いウエットスーツを着た男性が、海でサーフィンをしています。	黒いウエットスーツを着た男性が、海でサーフィンをしています。
黒いウエットスーツを着た男性が、海でサーフィンをしています。	黒いウエットスーツを着た男性が、海でサーフィンをしています。
男の人と女の人が広場で食べ物を食べています。	男性と女性が、広場で食べ物を食べています。
仮装した２人の人が乗った古い型の消防車が、沿道に多くの見物人のいる市街地を走行しています。	仮装した２人の人が乗った古い型の消防車が、沿道に多くの見物人のいる市街地を走行しています。
白のジャンボジェット機が青空を飛んでいます。	青い空を、飛行機が飛んでいます。
一組のカップルが、ウェディングケーキをカットしています。	二人の男女が三段のウェディングケーキを切っています。
窓辺に大きなテレビが置いてあります。	窓の前のキャビネットのうえにテレビがおかれています。
歩道に出ている青い屋根の下を男の人が歩いています。	歩道に出ている青い屋根の下を男の人が歩いています。
川べりで象の群れが水浴びをしています。	水辺でたくさんのゾウが水浴びをしています。
ソファーに座って2人の男性が話をしています	クマのぬいぐるみのあるソファーで、男性が２人でしゃべっています。
スーツの男性が花瓶の側に立っています。	スーツ姿の男性が花瓶が置かれた台のそばに立っています。
自転車競技をする人達が走っています。	ロードレースの選手たちが走っています。
ネットの向こうに野球の試合をしているのが見えます。	ネットの向こうで野球が行われています。
デスクの上には、二台のモニタが並べられ、キーボードとマウスがあります。	デスクの上に、2台のパソコンモニターと、キーボードと、マウスパッドの上に置かれたマウスがあります。
デスクの上には、二台のモニタが並べられ、キーボードとマウスがあります。	机の上にパソコンのモニターが２つと、キーボード、マウスがあります。
ユニフォームを着た男性がバットを持っています。	野球のユニフォームを着た人が、バットを握っています。
晴れた日に道路上を青いトラックが信号待ちをしてる。	青い大型のトラックが信号待ちをしています。
消防車が道路に停車してあります。	一台の赤い消防車が木々のそばの道路に停まっている。
部屋のベッドの上に猫が座っています。	猫がベッドの上に座ってこちらを見ています。
蒸気機関車が線路を走っています。	煙を上げながら走っている蒸気機関車がいます。
煙を上げながら走っている蒸気機関車がいます。	蒸気機関車が煙を上げて走っています。
大きな3基の風車の下にある海でサーファーがサーフィンをしています。	風力発電の風車の近くでサーファーがサーフィンをしています。
男性がホースで象に水をかけています。	男性が左手を上げながらホースで、ゾウに水をかけています。
ヘルメットをかぶった男性が自転車に乗っています。	白いＴシャツを着てヘルメットをかぶった男性が自転車に乗っています。
フルーツの香りのする封筒の箱です。	フルーツの香りのする封筒のパッケージです。
水色のハサミで紙を切ったものがあります。	水色のハサミと、切られた紙があります。
青いベンチの上にネコが一匹います。	一匹の猫が青いベンチに座っています。
大人の男性と赤ちゃんが扉の開いた冷蔵庫の前に立っています。	男性と赤ちゃんが開いた冷蔵庫の前に立っています。
短髪の人がスケートボードでジャンプしています。	段差の傍で男性がスケートボードと共に飛んでいます。
岩場の草の上に一頭のキリンがいます。	岩場の前の草地で、一頭のキリンが佇んでいます。
緑色のバナナがたくさん実っています。	完熟前ののバナナがたくさん実っています。
4人のスキーヤーが雪の上に立っています。	四人でスキーをしている人が雪の上に立っています。
白い花瓶にピンクの花が生けてあります。	白い花瓶にピンクのカーネーションがいけられています。
人々が椅子に座ってノートパソコンを使っている。	机の上にノートパソコンを置いて操作している人たちがいます。
天井からつるされた時計が12時40分を指しています。	12時40分を示した時計が、天井からぶら下がっています。
茶とグレーの二頭の馬が向かい合っています。	茶色とグレーの馬が向き合っています。
茶とグレーの二頭の馬が向かい合っています。	茶色とグレーの馬が向き合っています。
コップを逆さにしてその上に歯ブラシが置いてあります。	さかさまにしたコップの上に歯ブラシが置かれています。
車内に座っている人物が装置を耳に当てています。	車内に座っている人物が装置を耳に当てています。
大きいゾウは子ゾウの頭を鼻でなでています。	象が子象の頭を鼻で触っています。
緑色をした２階立てバスが停まっています。	グリーンの二階建ての車が止まっています。
二頭の馬が人の乗った馬車をひいています。	二頭の馬に引かれた傘付きの馬車に男性が乗っています。
青い自転車の本体に赤い傘がベルトでつけられています。	青い自転車に赤い傘が付いています。
座っているクマと歩き回っているクマが、森の中にいます。	森林の中で座っているクマと歩き回っているクマがいます。
雪の斜面を男の人がスキーで滑り降りています。	雪山をスキーで滑降している人がいます。
赤土の道路に馬に乗った男性がいます。	舗装されていない道で1人の男性が馬に乗っています。
男性テニスプレーヤーがラケットを持っています。	テニスラケットを持ってテニスコートにいる男性がいます。
草がいっぱい茂っている中に、熊が潜んでいます。	草むらの中に、クマが頭を出しています。
クマをモチーフにしたケーキがあります。	クマの形をしたケーキが置かれています。
男性と女性が、手にコントローラーを持って立っています。	ゲームのコントローラーを手に持った、二人の男女が立っています。
海の上でサーフィンをしている人々がいます。	数人のサーファーが、波に乗っています。
二頭のキリンがお尻を向けあい立っています。	二頭のキリンがお互いのお尻を向け合って立っています。
お皿に載ったハンバーガーを携帯で写真を撮っています。	お皿のハンバーガーを撮影しています。
数台のオートバイが郊外の道路のカーブを曲がるところです。	ツーリングする人達が、道路のカーブを曲がるところです。
くさむらのなかを四頭のゾウがあるいています。	草原で歩いている4頭の象の親子。
芝生の上を一頭のキリンが歩いています。	木と芝生がある場所をキリンが歩いています。
女性がフォークとナイフでピザを切っている。	女性がフォークとナイフで、食べ物を切っています。
男性と女性がリビングのソファーに座っています。	2人の男女が、リビングのソファーに座っています。
雪の中で、人々が傘を差しています。	吹雪の中で傘をさした人々が立っています。
大勢の人が食事の置かれた丸テーブルを囲んでいます。	丸いテーブルを囲んで多くの人が食事をしています。
男性がキリンの首に手をかけています。	キリンの首に腕をまわしている男性がいます。
花模様のお皿の上に、真っ赤なリンゴが置いてあります。	お皿の上に赤いリンゴが一つあります。
海で二人の人がサーフィンをしています。	２人の男性がサーフィンをしているところです。
海で二人の人がサーフィンをしています。	二人のサーファーが波乗りをしています。
水上にある桟橋の上に、たくさんの鳥がいます。	水上にたっている桟橋には、鳥がたくさん止まっています。
女性がサルのバルーンアートを手に持っています。	パーカーを着た女性がさるのかたちをした風船を持っています。
スケボーに乗った人のまわりに多くの観客がいる。	男性がたくさんの見物人を前にスケートボードをしています。
二匹の猫がベンチの上で寝そべっています。	ベンチの上に、2匹の色の違う猫が寝そべっています。
草がたくさん生えた草原でキリンが草を食べています。	草原の中で１頭のキリンが草を食べています。
二人の人が足を交叉させて立っています。	足を交差にさせた人が二人立っています。
男性がフリスビーをキャッチしている。	白いシャツの男性が、ジャンプをしてフリスビーを掴んでいます。
木々に囲まれた草原に三頭のシマウマが立っています。	草原に、３頭のシマウマが立っています。
野球選手がバッターボックスで構えています。	野球場で野球の打者がボールを打とうとしてバットを構えています。
机の上に、マウスとキーボードとカップがあります。	机の上にはキーボードとマウスとマグカップが置いてあります。
駅のホームに黄色い電車が入ってきます。	黄色い列車が、ホームに入ってきています。
皿の上に食べかけのケーキが乗っています。	風船が描かれたお皿の上に食べかけのケーキが乗っています。
ドアが開いた冷蔵庫の中に飲み物が入っています。	扉の開いた冷蔵庫に飲み物や食品が入っています。
皿の上にブロッコリーが入ったケーキがあります。	皿の上にブロッコリーのケーキが置いてあります。
皿の上にブロッコリーのケーキが置いてあります。	皿の上にブロッコリーが入ったケーキが置かれています。
ゲレンデで、スノーボーダーが滑っています。	雪山のゲレンデでスノーボードで滑走している人がいます。
キッチンで料理をする赤い服を着た女性がいます。	赤い服を着た女性がキッチンで料理をしています。
窓には緑色のカーテンがかかっています。	部屋の中に緑色のカーテンがかかっています。
道端に赤い消火栓が設置されています。	道路脇の芝生に赤色の消火栓があります。
バスの停車場にて、路線バスから乗客が降りています。	路線バスがバス停に到着し乗客を降ろしている
ドーナッツ、コーヒー、スプーンがマットの上にあります。	テーブルクロスの上の紙の上に、ドーナツ１個とティースプーン、コーヒーが入ったカップが置いてあります。
路上に停まった馬車の横に男性が立っています。	馬に引かせた幌馬車の前に、男性が立っています。
木の枝に白い一羽の鳥が止まっています。	木の枝に、１羽の鳥が立っています。
作戦を話しているダブルスペア。	テニスの試合でダブルスを組んだ男性2人が作戦を練っているところです。
夜の駅のホームに電車がとまっています。	夜の駅のホームに電車が停車しています。
まな板の上にニンジンとナイフが置いてある。	まな板の上に、人参とナイフが置かれ、料理の途中です。
低い木のある草原に沢山のキリンがいます。	背が低い木の間にキリンが複数立っています。
露店でオレンジなどの果物が山積みになっています。	青空市場の店頭に、大量のオレンジが陳列されています。
スノーボードを足につけた男性が雪の上で体育座りをしています。	男性がスノーボードをつけて雪の上に座り込んでいます。
キリンが道の真ん中に立っていて車が渋滞しています。	キリンが道路の真ん中に立ち、車の往来を妨げています。
2頭の白黒のまだら模様の羊がいます。	柵の中には、白黒のまだら模様の羊が二頭います。
女性テニスプレイヤーがラケットを構えています。	女性がテニスコートでラケットを構えています。
山あいの野原に黒い牛が何頭もいます。	山の麓の原っぱに黒い牛が何頭もいます。
トイレについた蛇口から、水が出ています。	洋式トイレの便座の上にある蛇口から水が出ている。
目を細めた女性が携帯電話で話をしています。	女性が目を細めて携帯電話で話をしています。
ジャングルにバナナがなっている木があります。	木のうっそうと茂る森の中にバナナが実っています。
車とバスがいっぱいで通りは渋滞しています。	道路にはたくさんの車やバスがいます。
飛行機の羽の下に山と川が見えています。	飛行機の翼の下に山や川が見えています。
飛行機の翼の下に山や川が見えています。	飛行機の翼と山や川が見えています。
台所の隅に白い冷蔵庫が置いてあります。	台所の一角に白い冷蔵庫が置かれています。
海辺にサーフボードが置かれた横に男性が立っている。	波打ち際で、男性がサーフボードを砂浜に置き、その横に立っています。
男性が右手に歯ブラシを持っています。	男性が右手に歯ブラシを握っています。
森林の右側に黒いクマの姿があります。	森の木の間に黒い大きなクマがいます。
棚に銅製の花瓶やカップが置かれている。	棚の上に花瓶やカップが置いてあります。
ホットドッグにかじりつく男性がいます。	男性がホットドッグを口に運んでいます。
飛行中の旅客機の真下から見ています。	空を飛んでいる飛行機を下から見ています。
皿の上にある大きなピザを、取っている人がいます。	皿に載っているピザを取ろうとしている人がいます。
草原に生えている木の下に置かれたテーブルと椅子があります。	木の下の芝にはテーブルと椅子が置かれています。
男性が、フルーツをたくさんのせたバイクで走っています。	たくさんのバナナを積んだバイクが路上を走っています。
野球場でバットを振る練習をしています。	野球のグラウンドで選手が2名素振りをしているところです。
少年がスノーボードをしています。	少年がスノーボードでで滑っています。
1匹の犬が乗ったボートが水しぶきを上げて進んでいます。	犬が１匹、水の上を走るボートに乗っています。
女性はドーナツにチョコレートをかけています。	１人の女性が、ドーナツにチョコレートをかけています。
赤色のトラックでは運ばれてる牛がいます。	赤いトラックの荷台には牛が乗っています。
ドーナツ店の前に男性が立っています。	ドーナツショップの前に男性が立っています。
二階建てのバスに乗り込む人たちがいます。	２階建てのバスに乗客が乗り込んでいます。
男性が横になってPCを操作しています。	男性がベッドの上でノートパソコンを操作しています。
１人の女性がフリスビーをしています。	１人の女性がフリスビーをしています。
雨の中でこちらに背を向けて傘を差す女性がいます。	雨が降る中、女性が傘をさして立っています。
雪原の上を五頭の馬が歩いています。	雪原の上を馬の群れが歩いています。
スノーボードを着けて宙を飛んでいる人がいます。	スノーボーダーが空中にジャンプしています。
飛行場に数機の飛行機がとまっています。	飛行場に数機の飛行機が止まっています。
夕日を背景に浜辺をサイクリングしている２人です。	夕陽を背にして浜辺でサイクリングをしている。
男性を乗せた馬車が道路を走っています。	男性が馬車に乗って走行しています。
青い電車が線路のうえをはしっています。	線路の上に青い列車の姿があります。
皿の上に、野菜と肉料理がのっています。	お皿の上に肉と芋と野菜が盛りつけてあります。
黄色と青で配色されている貨物列車が線路を走っています。	レールの上を黄色と青で配色されている列車がコンテナを牽いて走行しています。
台所に、４つ口の電熱コンロがあります。	キッチンに４つの電熱器がついたコンロがあります。
木に大量の緑色のバナナが生っています。	バナナの木に緑色のバナナが生えています。
木のベンチの上に一匹のリスがいます。	木々に囲まれたベンチの上にリスがいます。
タイヤが大きなトラックが広場に止められています。	タイヤの大きな車が停まっています。
草地の中を一頭の茶色いクマが歩いています。	植物が生い茂る場所をクマが歩いています。
一匹のキリンがレンガ造りの建物の前にたっています。	レンガ造りの建物の前でキリンが佇んでいます。
口をくっつけた二頭のキリンがいます。	二頭のキリンが口先をつけあっています。
茶色い家から出てくる機関車の模型があります。	建物から出てきている機関車の模型があります。
草原の中で縞馬の群れが立っています。	草原の中を縞馬の群れが立っています。
芝生で男性が2人、フリスビーを取り合っています。	芝生の上で二人の男性がフレスビーを奪い合っています。
一頭の茶色い牛が、草を食べています。	一頭の牛が牧草地の草を食べています。
広大な駐車場に二台の車が停まっています。	広い駐車場に車が二台停まっています。
草原にキリンが数頭いるのがみえます。	草原に数頭のキリンがいるのが見えます。
市街地の道路を緑色のバスが走行しています。	緑色のバスが、道路を走っています。
タオルを持った男性がバスルームの床を掃除している。	男性がバスルームの床を掃除しています。
森の上空を一機の飛行機が飛んでいるところです。	木々の上の青空を一機の旅客機が飛んでいます。
空港の手荷物渡し場所で家族が立っています。	空港の荷物を受け取る所で、家族が立っています。
テレビのある部屋で、1匹の猫がいます。	テレビのある部屋で茶色の猫が1匹います。
線路の上には蒸気機関車があります。	黒い蒸気機関車が線路の上にあります。
切り立った崖の横を蒸気機関車が走っています。	蒸気機関車が崖沿いの線路を走っています。
野球の試合でバッターがバットを振っています。	バッターボックスでバッターがスイングしています。
男女のうちの男性が携帯電話をかけています。	男性が携帯電話で話をしています。
ホットドッグと調味料が置かれています。	テーブルの上にホットドッグが盛られた皿と調味料が置いてあります。
芝生の上で、男性1人と女性1人がサッカーをしています。	芝生の上には、サッカーボールを目がけて走る男女がいます。
テニスコートに2人の男性テニスプレイヤーが立っています。	2人の男性テニスプレイヤーがテニスコートの中にいます。
テーブルの上にたくさんの野菜がのせられています。	テーブルのうえにさまざまな野菜がおかれています。
草原で一頭の牛がこちらを見ています。	草原で一頭の牛がこちらを向いて立っています。
公衆トイレに落書きがされています。	洗面台とトイレ周りは落書きされています。
暗闇の中、飛行機が２機飛んでいます。	夜空を２機の白い飛行機が飛んでいます。
空中に2台の航空機と月が見えます。	月の浮かんだ夜空の中を、飛行機が２機、飛んでいます。
スキーヤーが雪山を滑っています。	雪山を、スキーヤーが滑降しています。
海賊の帽子を被った犬が寝ています。	海賊の帽子を被った犬が寝ています。
新郎新婦がケーキカットをしています。	結婚式の男女がケーキカットをしています。
青いウェアを着た女性がテニスをしています。	青いウェアーを着たテニスの選手がテニスの試合をしています。
靴棚の間の空きスペースに猫が横たわっています。	靴だなの中に茶色のねこが横たわっています。
赤と緑の二階建てバスが並んで停車しています。	赤と、緑の２階建てバスが停まっています。
トイレに和式の便器が設置されています。	トイレ内にしゃがみ式の便器があります。
テーブルに色々なケーキが置いてあります。	テーブルの上に、たくさんのケーキが並べられています。
雪山にスノーボードをしている人がいます。	雪山を一人のスノーボーダーが滑り降りています。
煉瓦造りの建物の上に時計があります。	時計が組み込まれたレンガつくりの建物があります。
洋式の便器のふたが開いた状態になっています。	白い便器があり、ふたが開いています。
白いテーブルに置かれた、ピザや飲み物です。	ピザと飲み物がテーブルの上に置かれています。
男性がスケートボードをしています。	公園でスケートボードをしている男性がいます。
公園でスケートボードをしている男性がいます。	公園でスケボーの練習をしている青年がいます。
貨物列車が道路近くの線路を走行している。	貨物列車が道路と並行した線路を走っています。
砂浜にたくさんの鳥が止まっています。	砂浜にはたくさんの鳥たちが止まっています。
テーブルにピザが載った皿が置かれています。	テーブルの上に、ピザが置かれています。
テーブルの上に様々な料理が並べられています。	テーブルの上にはたくさんの料理が置いてあります。
道路をたくさんの車が通行しています。	道路を多くの自動車が通行しています。
街中の道路をたくさんの車が走っています。	道路をたくさんの自動車が走っています。
白黒の犬が、赤いフリスビーをくわえています。	白黒の犬が赤い円盤をくわえています。
ふたりの少年がテニスをしています。	グランドに青い服の子と黒い服の子がテニスをしています。
黄色の車体の列車が線路の上を走っています。	黄色の車体の列車が線路の上を走っています。
ベンチの上に黒い猫が寝そべっています。	黒い猫がベンチの上で寝そべっています。
ベンチの上に黒い猫が寝そべっています。	灰色のベンチに、1匹の黒猫が寝そべっています。
冷蔵庫のような所に沢山のメモが貼られています。	扉のそばの冷蔵庫のような所にたくさんのメモなどが貼られています。
犬の頭の上にカップが載せられています。	一匹の犬の頭の上に、カップが載っています。
スノーボーダーが高いジャンプをしています。	スノーボードで大ジャンプをしている人がいます。
